id,slug,title,meta_title,description,meta_description,type,typeProperty/id,typeProperty/value,typeProperty/slug,typeProperty/name,demo_url,cover,categories/0/id,categories/0/name,categories/0/slug,categories/0/parent_category_slug,categories/1/id,categories/1/name,categories/1/slug,categories/1/parent_category_slug,price,created_at,updated_at,categories/2/id,categories/2/name,categories/2/slug,categories/2/parent_category_slug,categories/3/id,categories/3/name,categories/3/slug,categories/3/parent_category_slug,categories/4/id,categories/4/name,categories/4/slug,categories/4/parent_category_slug
350,open-social-links-in-a-new-tab,Open Social Links In a New Tab,,"<p>It may not be obvious at first, but it’s hugely important to have any external links (i.e. links that point to external websites such as Facebook, Twitter, Instagram, etc.) open in a new window or tab. The main reason is that you want to keep visitors on your website wherever possible: if a user clicks on an external link that doesn’t open in a new tab, once they close that tab they won’t be able to get back to your website without typing your web address in again. It may even be that someone found you through some convoluted combination of clicks via third-party websites and now have no idea what your web address was!</p>
<p>It’s standard practice to open these links in a new tab, and we can help you to get that functionality.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/e1c1b454a4b624f5d2f4f1c4aefc57fb.jpg,5,Footer,footer,navigation,8,Functionality,functionality,,85,2020-01-16T05:00:00+0000,2022-02-18T16:30:40+0000,24,Navigation,navigation,,,,,,,,,
270,breadcrumb-navigation,Display Breadcrumb navigation,,"<p>Breadcrumb navigation is a list of links that show a customer what page they are on, and all the pages that are ""above"" that page in a store's content.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/collections/skis/products/k2-amp-velocity-mens-ski-m3-11-bindings-2015,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/2ae25398a151b77373cea135014f5e2d.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:31:15+0000,29,Development,development,,,,,,,,,
296,multi-column-dropdown-menu,Display Multi-column dropdown menu,,"<p>Do you have a dropdown menu with a large number of items? Such menus can be hard to navigate and even get outside of the viewport. The easiest solution to fix it is by adding a multi-column dropdown menu.</p>
<p>Please note that this is not the same as mega menu functionality, which can currently be achieved <a target=""_blank"" rel=""nofollow"" href=""https://apps.shopify.com/search?q=mega+menu&amp;st_source="">with an app</a>.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/56716e4770b937ce07fdfd3124916a7e.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:30:20+0000,29,Development,development,,,,,,,,,
300,dropdown-menu-secondthird-level,Add Dropdown menu (second/third level),,<p>Add a second/third level dropdown menu to better organize your store's navigation by grouping pages and collections.</p>,,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/fae1c480d556d8b8c8b7e03e94d32d68.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:36:02+0000,29,Development,development,,,,,,,,,
309,image-in-shopify-dropdown-menu,Show Images in drop down menu,,"<p>Are you looking to make your dropdown menu more appealing?</p>
<p>A good way to do so is to add product/collection images next to their titles, as it provides a better representation of what awaits after someone clicks on the menu item.</p>
<p>We can also implement it in such a way that it allows you to upload custom icons for all your menu items.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/6871e4ecc69138c2085bec9fa6403e0e.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:23:13+0000,29,Development,development,,,,,,,,,
339,cart-total-price,Show Cart total price,,<p>Show cart total amount next to the cart icon in the header.</p>,,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/products/burton-freestyle-binding-2016,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/f1af680bdd530108aa4d361d5fc5c0e9.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:24:28+0000,29,Development,development,,,,,,,,,
351,shopify-show-custom-payment-icons,Show Custom Payment Method Icons,,"<p>The icons that show are determined by your store's payment settings,&nbsp;however,&nbsp;If you want to add or remove payment icons without changing your payment settings, we can do it by editing theme code.</p>
<p>Default icons can also be replaced with the custom icons you provide or we can create a custom set of icons as a separate small task.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/ba42f45ba8b9bd473c28c51aea664866.jpg,5,Footer,footer,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T10:35:07+0000,29,Development,development,,,,,,,,,
356,social-icons-on-footer,Add Social Icons On Footer,,"<p>Linking to your social profiles from your website is a simple, yet highly effective piece of your overall digital marketing strategy.</p>
<p>Adding social icons to your store helps your visitors share your page which in turns improves ranking in search results and link building.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/79ef64dbd50b46ac60c263f19842cf42.jpg,5,Footer,footer,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T10:43:20+0000,29,Development,development,,,,,,,,,
357,custom-newsletter-signup,Get Custom Newsletter signup,,"<p>Email newsletters are a powerful tool for communicating with your customers, and adding newsletter signup to your online store lets you collect customer email addresses that you can use for email marketing campaigns.</p>
<p>You can have the&nbsp;Newsletter Signup form on the footer as shown in the demo or as a section on your homepage.</p>
<p>We can <a target=""_blank"" rel=""nofollow"" href=""https://heycarson.com/products/connect-newsletter-to-mailchimp-klaviyo-account"">connect the signup form to your Mailchimp/Klaviyo account</a> as a separate task.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/125206238ec30b2078f525abf52d8723.jpg,5,Footer,footer,navigation,8,Functionality,functionality,,85,2020-01-16T05:00:00+0000,2021-12-13T10:40:11+0000,24,Navigation,navigation,,25,Email,email,,29,Development,development,
358,additional-link-lists-on-footer,Show Additional Link Lists On Footer,,<p>Enhance the navigation on your website by adding additional footer menus and links to help your customers browse.</p>,,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/eb25381212ea28cfe1e6b9c61540a59a.jpg,5,Footer,footer,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T10:36:04+0000,29,Development,development,,,,,,,,,
359,remove-powered-by-shopify-text,"Remove ""Powered by Shopify"" text",,"<p>Remove ""Powered by Shopify"" text from your store's footer.</p>
<p>Removing this text gives your store an authentic feel because “Powered by Shopify” can often lead people to believe that it’s a dropship business and they can find better deals elsewhere.</p>
<p>It also opens up opportunities to create an authentic brand image for your store, as we can replace it with a text of your choice.</p>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/pages/footer-demo-page,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/83d68c2801232f3528b5206999938e46.jpg,5,Footer,footer,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T10:37:29+0000,29,Development,development,,,,,,,,,
360,customizable-promotion-top-bar,Get Customizable Promotion Top Bar,,"<p>Get your visitors attention with this customizable promo bar. Promote free shipping, coupons or share important news.</p>
<p>Fully customizable!</p>
<ul>
<li>Text color</li>
<li>Background color</li>
<li>Font size</li>
<li>Transition time between announcements</li>
<li>Add a link to each announcement</li>
</ul>",,1,1,development,development,Development,https://heycarson-demo-store.myshopify.com/products/burton-citizen-binding-2016-womens,https://heycarson.s3.amazonaws.com/assets/images/task-catalog/cd8058b3fe8c604f8d62bf776eabbc0a.jpg,4,Header,header,navigation,24,Navigation,navigation,,85,2020-01-16T05:00:00+0000,2021-12-13T11:27:41+0000,29,Development,development,,,,,,,,,
